,City,Country,Latitude,Longitude,Cloudiness,Humidity,Max_Temp,Wind_Speed,Date
84,Suntar,RU,62.14,117.63,100,95,260.41,2.69,1581893651
85,Lebu,CL,-37.62,-73.65,0,76,287.77,1.64,1581893284
86,La Palma,US,33.85,-118.05,1,37,297.04,2.6,1581893651
87,San Miguel de Cauri,PE,-10.1,-76.58,40,44,300.15,6.2,1581893651
88,Beringovskiy,RU,63.05,179.32,100,92,253.6,10.96,1581893425
89,Muravlenko,RU,63.79,74.52,90,94,260.48,5.81,1581893651
90,Yar-Sale,RU,66.83,70.83,100,94,262.11,4.94,1581893503
91,Kolosovka,RU,56.47,73.61,100,95,265.93,3.42,1581893651
92,Saldanha,ZA,-33.01,17.94,0,88,291.15,1.5,1581893547
93,Albany,US,42.6,-73.97,90,51,276.15,3.6,1581893128
94,Port Lincoln,AU,-34.73,135.87,0,60,295.2,3.44,1581893407
95,Nicoya,CR,10.15,-85.45,1,46,305.15,11.8,1581893651
96,Ahipara,NZ,-35.17,173.17,23,96,298.71,4.99,1581893437
97,Nacala,MZ,-14.54,40.67,26,96,296.48,1.15,1581893652
98,Awjilah,LY,29.11,21.29,0,66,286.1,4.52,1581893652
99,Jamestown,US,42.1,-79.24,90,80,275.15,3.6,1581893546
100,Athens,GR,37.98,23.72,20,61,284.26,4.1,1581893473
101,Ciudad Bolivar,VE,8.12,-63.55,37,53,302.34,5.58,1581893378
102,Udachny,RU,66.42,112.4,75,84,254.15,3.0,1581893452
103,Yellowknife,CA,62.46,-114.35,20,67,243.15,5.1,1581893135
104,Kortkeros,RU,61.81,51.58,75,86,271.15,4.0,1581893652
105,Port Elizabeth,ZA,-33.92,25.57,20,88,295.15,5.1,1581893235
106,Chute-aux-Outardes,CA,49.12,-68.4,90,86,272.15,7.2,1581893652
107,Port Hardy,CA,50.7,-127.42,75,86,278.15,5.7,1581893493
108,Kananga,CD,-5.9,22.42,98,93,294.37,1.04,1581893652
109,Butaritari,KI,3.07,172.79,32,77,301.7,8.21,1581893211
110,Pevek,RU,69.7,170.31,100,99,241.24,3.02,1581893155
111,Leningradskiy,RU,69.38,178.42,95,95,243.08,2.37,1581893141
112,Minna,NG,9.61,6.56,100,33,303.15,10.3,1581893653
113,Brae,GB,60.4,-1.35,98,93,280.15,13.9,1581893653
114,Bambanglipuro,ID,-7.95,110.28,100,89,297.92,2.98,1581893653
