,City,Country,Latitude,Longitude,Cloudiness,Humidity,Max_Temp,Wind_Speed,Date
368,Lagoa,PT,39.05,-27.98,100,60,286.19,5.44,1581893548
369,Dubti,ET,11.74,41.09,0,57,296.47,2.32,1581893672
370,Montepuez,MZ,-13.13,39.0,79,96,293.78,0.82,1581893452
371,Coquimbo,CL,-29.95,-71.34,20,72,292.15,5.1,1581893434
372,Chumphon,TH,10.33,98.83,11,98,294.31,0.41,1581893672
373,Ancud,CL,-41.87,-73.82,20,71,287.15,2.6,1581893176
374,Honiara,SB,-9.43,159.95,90,88,300.15,5.1,1581893634
375,Pilar,BR,-9.6,-35.96,75,74,301.15,5.1,1581893672
376,Hualmay,PE,-11.1,-77.61,97,75,295.94,3.16,1581893435
377,Zhigansk,RU,66.77,123.37,100,96,248.99,5.88,1581893202
378,Silistea,RO,44.38,25.35,0,75,278.15,0.5,1581893672
379,Picota,PE,-6.92,-76.33,40,100,290.15,3.1,1581893672
380,Yehualtepec,MX,18.78,-97.65,25,37,299.82,4.02,1581893672
381,Rafai,CF,4.95,23.92,69,49,297.51,0.83,1581893672
382,Pechory,RU,57.82,27.61,100,80,278.15,8.0,1581893673
383,Hamilton,US,39.18,-84.53,1,88,282.15,3.1,1581893531
384,Aswan,EG,24.09,32.91,35,46,286.17,4.45,1581893673
385,Frederick,US,39.47,-77.4,90,46,284.26,1.5,1581893538
386,Bima,ID,-8.47,118.72,100,92,298.28,0.25,1581893673
387,Canchungo,GW,12.07,-16.03,98,69,299.15,2.1,1581893673
388,Sao Joao da Barra,BR,-21.64,-41.05,93,78,300.15,8.2,1581893554
389,Meulaboh,ID,4.14,96.13,19,81,300.04,3.01,1581893673
390,Igarka,RU,67.47,86.58,94,96,256.42,4.65,1581893673
391,Odesskoye,RU,54.21,72.97,93,97,261.02,3.44,1581893673
392,Severodvinsk,RU,64.56,39.83,90,86,274.15,8.0,1581893673
393,Mana,GF,5.66,-53.78,70,93,296.54,1.44,1581893548
394,Wilayat-e Zabul,AF,32.25,67.25,0,52,264.41,2.1,1581893674
395,Puerto Escondido,MX,15.85,-97.07,5,74,303.15,2.6,1581893165
396,Laguna,US,38.42,-121.42,1,42,294.26,2.6,1581893223
397,Jaisalmer,IN,26.91,70.92,0,15,291.43,2.19,1581893674
398,Sibolga,ID,1.74,98.78,47,91,294.17,1.23,1581893674
399,Rio Gallegos,AR,-51.62,-69.22,40,35,286.15,13.9,1581893674
400,Sola,VU,-13.88,167.55,90,94,300.15,7.79,1581893421
401,Hudson Bay,CA,52.85,-102.38,100,97,256.81,1.56,1581893436
402,Praia,CV,14.92,-23.51,54,53,297.15,8.7,1581893553
403,Sturgis,US,41.8,-85.42,1,55,277.15,2.1,1581893674
404,Kajaani,FI,64.17,27.67,90,93,277.15,9.8,1581893675
405,Yongchang,CN,30.04,119.73,5,59,276.48,1.51,1581893675
406,Muskegon,US,43.3,-86.13,1,58,274.15,3.1,1581893375
407,Biak,ID,-0.91,122.88,29,71,301.13,2.95,1581893513
408,Robertsport,LR,6.75,-11.37,0,81,300.84,5.03,1581893675
409,Kautokeino,NO,69.01,23.04,98,98,273.12,3.95,1581893675
410,Bulungu,CD,-4.55,18.6,91,90,295.65,1.5,1581893675
411,Manama,BH,26.22,50.58,5,77,291.15,4.6,1581893558
412,College,US,64.86,-147.8,1,75,251.48,0.84,1581893415
413,Nueva Helvecia,UY,-34.3,-57.23,0,60,303.71,4.89,1581893675
414,Severo-Yeniseyskiy,RU,60.37,93.04,92,96,258.8,1.63,1581893675
415,Podgorenskiy,RU,50.41,39.64,17,91,268.78,4.32,1581893675
416,Naze,JP,28.37,129.48,75,58,287.15,8.2,1581893446
417,Aberdeen,GB,57.14,-2.1,20,77,279.26,13.9,1581893402
418,Bela,IN,25.93,81.98,0,62,285.05,2.28,1581893676
419,Mengcheng,CN,33.26,116.57,0,49,274.2,2.52,1581893676
420,Pyapon,MM,16.28,95.68,10,87,289.36,1.47,1581893676
421,Oodweyne,SO,9.41,45.06,28,46,292.88,1.52,1581893676
422,Walvis Bay,NA,-22.96,14.51,25,88,291.48,3.6,1581893416
423,High Level,CA,58.52,-117.14,90,63,249.15,4.1,1581893676
424,Shafranovo,RU,53.97,54.77,15,94,257.81,2.35,1581893676
425,Natal,BR,-5.79,-35.21,20,78,301.15,5.1,1581893676
426,Tromso,NO,69.65,18.96,90,92,272.15,7.7,1581893676
427,Cururupu,BR,-1.83,-44.87,100,99,296.68,1.08,1581893676
428,Gorom-Gorom,BF,14.44,-0.24,0,10,296.2,3.91,1581893677
429,Xichang,CN,27.9,102.26,100,88,270.27,2.52,1581893411
430,Wad Rawah,SD,15.16,33.14,16,31,294.74,5.74,1581893677
431,Tura,IN,25.52,90.22,0,70,289.36,0.72,1581893418
432,Aquiraz,BR,-3.9,-38.39,79,78,300.15,1.0,1581893677
433,San Juan,AR,-31.54,-68.54,0,31,306.97,4.77,1581893677
434,Mitu,CO,1.2,-70.17,61,69,300.64,0.89,1581893437
435,Terrace Bay,CA,48.78,-87.1,40,65,259.15,1.5,1581893454
436,Chateauroux,FR,46.82,1.7,75,87,288.15,9.3,1581893677
437,Oxeloesund,SE,58.67,17.1,40,93,278.15,3.6,1581893677
438,Zomba,MW,-15.39,35.32,13,97,292.96,1.25,1581893677
439,San-Pedro,CI,4.75,-6.64,7,87,300.87,4.67,1581893677
440,Butajira,ET,8.12,38.37,4,47,291.8,3.79,1581893678
441,Sibi,PK,29.54,67.88,0,12,290.61,1.08,1581893678
442,Novyy Urengoy,RU,66.08,76.63,93,96,258.2,3.98,1581893678
443,Zelenoborsk,RU,61.47,64.03,84,97,259.4,2.66,1581893678
444,Coos Bay,US,43.37,-124.22,1,62,284.15,6.2,1581893457
445,Ahar,IR,38.48,47.07,100,95,269.36,2.42,1581893678
446,Ulaangom,MN,49.98,92.07,96,100,245.62,0.37,1581893678
447,Werder,DE,52.38,12.93,100,41,289.26,8.7,1581893678
448,Stephenville Crossing,CA,48.5,-58.43,90,86,271.15,11.8,1581893678
449,Avanuorri,NO,71.0,24.66,75,80,272.15,10.3,1581893678
450,Khani,GE,41.96,42.96,0,63,273.15,2.6,1581893678
451,Tabou,CI,4.42,-7.35,17,91,298.8,1.6,1581893678
452,Redmond,US,47.67,-122.12,90,70,282.59,6.2,1581893661
453,Peniche,PT,39.36,-9.38,90,82,288.71,3.1,1581893418
454,Contamana,PE,-7.33,-75.02,57,58,303.16,2.05,1581893679
455,Avera,US,33.19,-82.53,90,100,282.15,1.19,1581893441
456,Pisco,PE,-13.7,-76.22,40,30,296.48,9.8,1581893210
457,Genhe,CN,50.78,121.52,0,93,255.6,0.81,1581893679
458,Hurghada,EG,27.26,33.81,0,55,290.15,4.6,1581893679
459,Severo-Kuril'sk,RU,50.68,156.12,74,87,267.45,4.46,1581893417
460,Kamaishi,JP,39.27,141.88,75,100,275.15,4.1,1581893679
461,Ixtapa,MX,20.7,-105.2,75,74,299.15,5.1,1581893421
462,Smithers,CA,54.78,-127.17,75,79,271.15,1.0,1581893679
463,Yining,CN,29.04,114.56,22,62,274.91,0.28,1581893431
464,Mareeba,AU,-17.0,145.43,6,62,305.37,3.1,1581893487
465,Bacolod City,PH,10.67,122.95,28,74,299.19,4.03,1581893679
466,Mahibadhoo,MV,3.78,72.97,3,81,300.8,6.76,1581893449
467,Fare,PF,-16.7,-151.02,99,77,301.11,7.93,1581893680
468,Ust-Maya,RU,60.42,134.53,100,98,249.71,1.4,1581893680
469,Moindou,NC,-21.69,165.68,20,55,303.15,2.1,1581893680
470,Klyuchi,RU,52.27,79.17,55,90,264.25,4.88,1581893680
471,Finschhafen,PG,-6.6,147.87,50,71,301.67,2.05,1581893680
472,Ouricuri,BR,-7.88,-40.08,33,64,297.16,0.82,1581893681
473,Saint-Joseph,RE,-21.37,55.62,78,73,298.15,2.6,1581893681
474,Hambantota,LK,6.12,81.12,0,79,298.9,8.99,1581893412
475,Xam Nua,LA,20.42,104.04,100,85,281.99,1.78,1581893682
476,Mayo,US,38.89,-76.51,75,76,283.15,2.6,1581893444
477,Bhawanipatna,IN,19.9,83.17,0,49,291.07,0.61,1581893682
478,North Platte,US,41.12,-100.77,90,27,285.15,5.1,1581893682
479,Benghazi,LY,32.12,20.07,0,69,286.59,6.52,1581893683
480,Iskateley,RU,67.68,53.15,92,92,266.57,8.03,1581893683
481,Kano,NG,12.0,8.52,92,30,293.15,4.27,1581893683
482,Tarakan,ID,3.3,117.63,12,87,298.59,3.5,1581893683
483,Mersing,MY,2.43,103.84,65,72,300.38,5.48,1581893684
484,Sao Mateus do Sul,BR,-25.87,-50.38,100,94,292.91,0.06,1581893525
485,Ketchikan,US,55.34,-131.65,90,93,278.15,1.5,1581893684
486,Launceston,AU,-41.45,147.17,0,54,289.82,5.7,1581893684
487,Parrita,CR,9.52,-84.32,20,60,299.15,10.3,1581893684
488,Raja,SS,8.46,25.68,0,24,294.91,1.09,1581893684
489,Obo,CF,5.4,26.49,65,47,297.33,0.53,1581893684
490,Sawakin,SD,19.11,37.33,87,89,297.71,6.0,1581893684
491,La Ronge,CA,55.1,-105.28,90,77,255.15,3.6,1581893684
492,Bundibugyo,UG,0.74,30.04,90,75,285.7,1.86,1581893684
493,Huarmey,PE,-10.07,-78.15,56,73,295.96,1.65,1581893684
494,Khasan,RU,42.43,130.64,100,80,262.21,7.14,1581893684
495,Banff,CA,51.18,-115.57,35,68,270.37,4.02,1581893488
496,Sorong,ID,-0.88,131.25,97,75,301.74,2.42,1581893684
497,Slavonice,CZ,49.0,15.35,100,95,280.37,5.7,1581893685
498,Khash,IR,28.22,61.22,0,33,281.13,1.93,1581893640
499,Falkenberg,SE,56.91,12.49,100,93,279.26,11.3,1581893685
500,Bam,IR,29.11,58.36,0,27,282.91,1.65,1581893685
501,Henties Bay,NA,-22.12,14.28,59,93,291.48,0.89,1581893685
502,Penjamo,MX,20.43,-101.73,75,24,301.15,1.88,1581893685
503,Altay,CN,47.87,88.12,62,31,259.57,2.32,1581893685
504,Otaki,NZ,-40.76,175.15,100,88,293.15,9.8,1581893685
505,Marawi,PH,8.0,124.29,26,88,296.48,1.79,1581893435
506,Flin Flon,CA,54.77,-101.86,90,77,255.15,2.6,1581893685
507,Zheleznodorozhnyy,RU,55.75,38.0,100,80,275.93,5.0,1581893685
508,Toamasina,MG,-18.17,49.38,75,94,298.15,5.1,1581893434
509,Morinville,CA,53.8,-113.65,40,78,264.15,3.6,1581893685
510,Tanabe,JP,33.73,135.37,75,56,280.93,7.2,1581893685
511,North Bend,US,43.41,-124.22,1,62,284.15,6.2,1581893436
512,Chifeng,CN,42.27,118.96,19,60,262.06,5.84,1581893417
513,Sioux Lookout,CA,50.1,-91.92,40,42,258.15,3.1,1581893437
514,Duldurga,RU,50.68,113.59,0,79,258.9,2.04,1581893686
515,Cockburn Town,TC,21.46,-71.14,40,65,300.15,5.7,1581893686
516,Noumea,NC,-22.28,166.46,20,55,303.15,2.1,1581893411
517,Pangody,RU,65.85,74.49,97,96,259.19,4.46,1581893502
518,Sisimiut,GL,66.94,-53.67,58,86,253.42,3.07,1581893445
519,Jiaocheng,CN,24.68,116.14,21,68,277.57,1.55,1581893686
520,Verkhoyansk,RU,67.54,133.38,100,98,250.51,0.93,1581893686
521,Fortuna,US,40.6,-124.16,75,93,286.48,1.38,1581893417
522,Lata,PT,40.16,-8.33,90,82,289.26,3.1,1581893434
523,Sur,OM,22.57,59.53,0,52,292.44,4.33,1581893686
524,Nikolayevka,RU,53.13,47.2,98,95,269.42,4.98,1581893686
525,Grindavik,IS,63.84,-22.43,75,72,275.15,9.8,1581893444
526,Ugoofaaru,MV,5.67,73.0,0,73,301.34,7.95,1581893687
527,Paracuru,BR,-3.41,-39.03,86,78,300.15,1.0,1581893687
528,Plainview,US,40.78,-73.47,40,64,279.82,3.6,1581893687
529,Dali,CN,25.7,100.18,12,90,276.89,0.4,1581893687
530,Talara,PE,-4.58,-81.27,100,100,290.15,5.1,1581893687
531,Sabang,ID,5.89,95.32,45,74,300.6,4.98,1581893687
532,Koyelga,RU,54.65,60.9,57,88,259.95,2.67,1581893687
533,Shikarpur,PK,27.96,68.64,0,14,289.77,2.81,1581893687
534,Trairi,BR,-3.28,-39.27,100,95,296.73,0.42,1581893526
535,Ghedi,IT,45.4,10.28,75,100,283.71,1.0,1581893687
536,Qarqin,AF,37.42,66.04,33,45,277.97,1.05,1581893687
537,Caldwell,US,43.66,-116.69,90,93,282.15,4.1,1581893688
538,Angren,UZ,41.02,70.14,100,52,273.17,2.43,1581893688
539,Byron Bay,AU,-28.65,153.62,90,88,301.48,1.5,1581893471
540,Gamba,GA,-2.65,10.0,100,88,298.88,0.89,1581893123
541,Ende,ID,-8.84,121.66,74,74,301.79,1.14,1581893688
542,Macas,EC,-2.32,-78.12,75,88,294.15,2.6,1581893688
543,Port-Gentil,GA,-0.72,8.78,40,88,301.15,2.6,1581893418
544,Monduli,TZ,-3.3,36.45,20,88,290.15,2.6,1581893688
545,Ivankiv,UA,50.94,29.89,93,73,275.37,5.94,1581893688
546,Bako,ET,5.78,36.57,20,56,294.21,2.03,1581893688
547,Senno,RU,59.53,33.92,100,93,274.26,25.48,1581893688
548,Sao Domingos do Prata,BR,-19.86,-42.97,100,61,300.15,1.73,1581893688
549,Tezpur,IN,26.63,92.8,58,68,291.51,1.06,1581893688
550,Thinadhoo,MV,0.53,72.93,24,77,301.37,4.62,1581893196
551,Comodoro Rivadavia,AR,-45.87,-67.5,40,26,294.15,8.7,1581893689
552,Touros,BR,-5.2,-35.46,76,78,301.15,4.1,1581893585
553,Udangudi,IN,8.43,78.02,44,83,296.54,4.92,1581893689
554,Guane,CU,22.2,-84.09,3,75,297.98,2.64,1581893689
555,Monteagudo,BO,-19.82,-63.98,75,62,304.15,1.44,1581893689
556,Kalmunai,LK,7.42,81.82,64,70,300.3,5.52,1581893422
557,Porto Nacional,BR,-10.71,-48.42,20,66,303.15,2.1,1581893466
558,Markova,UA,48.68,24.41,89,71,272.99,5.36,1581893429
559,Kaeo,NZ,-35.1,173.78,22,96,298.71,0.45,1581893689
560,Tshane,BW,-24.02,21.87,82,51,298.28,6.3,1581893689
561,Kirakira,SB,-10.45,161.92,100,74,302.19,3.31,1581893488
562,Hobyo,SO,5.35,48.53,36,77,297.63,6.65,1581893430
